word,count_hi,count_lo,log_odds
busy,763,130,-0.16813424557104462
crunchy,69,11,-0.1679161192750538
waiter,145,24,-0.166773914696277
bar,1141,194,-0.16396787988420414
bartenders,81,13,-0.16384279388741874
starting,87,14,-0.162218098160416
end,228,38,-0.16134435411182046
fire,111,18,-0.15744481940775756
yet,300,50,-0.15622007951186312
today,879,148,-0.15552911000961966
iced,401,67,-0.15456032809349818
husband,141,23,-0.15373148428309769
table,573,96,-0.15358629372022925
knows,76,12,-0.15264864714426452
i'm,1262,212,-0.15155175489534667
often,179,29,-0.13974524230835783
pizzas,179,29,-0.13974524230835783
whatever,77,12,-0.13974524230835783
chip,89,14,-0.13974524230835783
already,173,28,-0.13974524230835783
foods,191,31,-0.13974524230835783
dressing,125,20,-0.13974524230835783
cash,606,100,-0.13809643731817367
wait,2050,340,-0.13730443074754906
sign,282,46,-0.13620541560323396
anything,417,68,-0.1301297836089157
later,205,33,-0.12998906736299354
pretzel,90,14,-0.1286954061217731
something,461,75,-0.12667316074100476
quesadilla,72,11,-0.1259519201760213
sausage,292,47,-0.12253311342723716
five,146,23,-0.11912595510562163
service,11358,1853,-0.11883979743079198
south,140,22,-0.11823903708739358
sticky,85,13,-0.11621474489816386
walk,251,40,-0.11564769072929693
wednesday,165,26,-0.11535378918419781
twice,196,31,-0.11403688559815173
priced,375,60,-0.11278943231982996
tuesdays,110,17,-0.11234626812024473
sure,1247,201,-0.11047486000824502
nachos,172,27,-0.11041762721383819
duck,154,24,-0.10695541948536658
beyond,92,14,-0.10695541948536658
non,148,23,-0.10561223593889935
returning,86,13,-0.10465392249708749
free,1905,305,-0.10232772927464673
make,1700,272,-0.1020049143255104
view,130,20,-0.10082982605868374
craving,155,24,-0.10052452915507715
white,361,57,-0.10030351025706175
mind,149,23,-0.09892324778810213
sizes,74,11,-0.09892324778810213
loud,137,21,-0.09529347973752422
easy,206,32,-0.09529347973752245
tho,87,13,-0.09322522667346433
post,106,16,-0.09188922113072273
come,2466,389,-0.08689333413074785
classic,132,20,-0.0856780210380812
ate,202,31,-0.08403463529435307
please,386,60,-0.08395388267994264
sat,215,33,-0.08258682846840948
may,279,43,-0.08090474228542455
combo,458,71,-0.07912062049192237
syrup,82,12,-0.07761346120135038
bloody,114,17,-0.07694434106932846
mixed,127,19,-0.07520672117078853
stop,524,81,-0.07482569620904211
bagels,172,26,-0.07404998304296306
size,281,43,-0.07378727451656086
hole,140,21,-0.07378727451655998
fancy,108,16,-0.07337017336348595
we're,89,13,-0.07075237082140617
personal,102,15,-0.06936444554655807
next,753,116,-0.06828627832621326
plan,128,19,-0.06742458072873347
berry,70,10,-0.06672010729346844
offer,297,45,-0.06305262152010371
works,142,21,-0.05970253463482145
website,103,15,-0.05970253463482145
friday,404,61,-0.05475202947496527
looking,378,57,-0.05441151700040603
you're,803,122,-0.054089797729864664
exactly,71,10,-0.05273386531872859
salt,130,19,-0.05203966188925335
check,1316,200,-0.05169791785220745
park,196,29,-0.049498364460580646
second,275,41,-0.048773464102631614
holiday,91,13,-0.048773464102630726
offered,78,11,-0.046963508857391645
feel,401,60,-0.04592648709070257
mushrooms,98,14,-0.04443506250403395
tap,118,17,-0.04275297632104902
parking,601,90,-0.04210677274444219
freaking,85,12,-0.0421067727444413
mmmmm,125,18,-0.03966178375137552
what's,125,18,-0.03966178375137552
prepared,298,44,-0.03772362791604689
com,199,29,-0.03438472665053105
regular,313,46,-0.03225932733821857
able,86,12,-0.030545950343364936
toasted,86,12,-0.030545950343364936
meal,924,137,-0.02896465918119251
bite,227,33,-0.028519607198134622
tiny,113,16,-0.028519607198134622
located,274,40,-0.028305680574149505
heard,120,17,-0.02608592383583641
they're,510,75,-0.025868461619038996
saturdays,73,10,-0.025334891130613713
subs,127,18,-0.023913426783236602
seated,107,15,-0.021962206651974014
quiet,141,20,-0.020200091658574948
sit,432,63,-0.019650066893595053
call,530,77,-0.013451516984065215
afternoon,136,19,-0.0072560592622803455
breakfast,2372,345,-0.006033230158373648
posted,102,14,-0.004825924408986992
bring,614,88,0.001481186537964696
finish,89,12,0.0033556013323163825
looks,394,56,0.004329785530158503
absolute,110,15,0.005436767536139087
fair,124,17,0.006437267869722874
crust,243,34,0.010315452267374958
forget,341,48,0.011485727415565528
